location,public_hours,winter_play,type,lights,courts,place,additional,latitude_old,longitude_old,coord_mannual,latitude,longitude
Viewmount ParkClub: Viewmount Park Tennis ClubWebsite: http://www.viewmounttennis.comMembership: Open,Sundays 9 p.m. - 11 p.m.Fridays 9 p.m. - 11 p.m.Saturdays 9 p.m. - 11 p.m.,,Club,Yes,4,Viewmount Park, Viewmount Park Tennis ClubWebsite: http://www.viewmounttennis.comMembership: Open,43.70702525,-79.43750165,"43.70756625485564, -79.43680128328198",43.70756625,-79.43680128
Wanless ParkClub: Wanless Park Tennis ClubWebsite: http://www.wanlesstennis.comMembership: Waitlist,Sundays 9 p.m. - 11 p.m.Fridays 9 p.m. - 11 p.m.Saturdays 9 p.m. - 11 p.m.,,Club,Yes,5,Wanless Park, Wanless Park Tennis ClubWebsite: http://www.wanlesstennis.comMembership: Waitlist,43.72894225,-79.39203071,,43.72894225,-79.39203071
Wedgewood Park - Etobicoke,,,Public,No,1,Wedgewood Park Etobicoke,,43.64449875,-79.54752145,"43.64416630245739, -79.54737361695375",43.6441663,-79.54737362
Wedgewood Park - North York,,Yes,Public,No,2,Wedgewood Park North York,,43.7905644,-79.4063574,,43.7905644,-79.4063574
West Deane ParkClub: Martingrove Tennis ClubWebsite: http://www.martingrovetennis.comInfo: Has public hours - Public Hours: 5 PM - 11 PM (Sundays Only) Membership: Open,Sundays 5 p.m. - 11 p.m.Holidays all day 8 a.m. - 11 p.m.,,Club,Yes,4,West Deane Park, Martingrove Tennis ClubWebsite: http://www.martingrovetennis.comInfo: Has public hours - Public Hours: 5 PM - 11 PM (Sundays Only) Membership: Open,43.6631995,-79.5685684,"43.66333834991501, -79.55912778442148",43.66333835,-79.55912778
West Mall Rink,,,Public,Yes,3,West Mall Rink,,43.6415577,-79.5664399,,43.6415577,-79.5664399
West Rouge ParkClub: West Rouge Tennis ClubWebsite: http://www.westrougetennisclub.comMembership: Open,Sundays 4 p.m. - 7 p.m.Mondays 4 p.m. - 7 p.m.Holidays 4 p.m. - 6 p.m.,,Club,Yes,3,West Rouge Park, West Rouge Tennis ClubWebsite: http://www.westrougetennisclub.comMembership: Open,43.7756229,-79.1908943,"43.79245698537789, -79.12593234033818",43.79245699,-79.12593234
Westgrove Park,,,Public,Yes,2,Westgrove Park,,43.68208475,-79.56772041,"43.68273615711702, -79.56762281620792",43.68273616,-79.56762282
Westmount Park,,Yes,Public,Yes,3,Westmount Park,,43.68708845,-79.51874549,,43.68708845,-79.51874549
Weston Lions ParkClub: York Weston Lions Tennis ClubWebsite: http://www.ywtc.caMembership: Open,Fridays 4 p.m. - 8 p.m.Saturdays 4 p.m. - 6 p.m.,,Club,Yes,4,Weston Lions Park, York Weston Lions Tennis ClubWebsite: http://www.ywtc.caMembership: Open,43.6986162,-79.5201794,"43.69774045042489, -79.5179925037102",43.69774045,-79.5179925
Westway Park,,,Public,Yes,4,Westway Park,,43.6879069,-79.54161897,,43.6879069,-79.54161897
Willowdale ParkClub: North York Tennis ClubWebsite: http://www.nytc.caMembership: Open,,,Club,Yes,4,Willowdale Park, North York Tennis ClubWebsite: http://www.nytc.caMembership: Open,43.76615975,-79.40775232,,43.76615975,-79.40775232
Wishing Well ParkClub: Wishing Well Tennis ClubWebsite: http://www.wwtc.sprinterweb.netMembership: Open,Sundays 3 p.m. - 6 p.m.Saturdays 3 p.m. - 6 p.m.Holidays 3 p.m. - 6 p.m.,,Club,Yes,3,Wishing Well Park, Wishing Well Tennis ClubWebsite: http://www.wwtc.sprinterweb.netMembership: Open,43.7699481,-79.31703376,,43.7699481,-79.31703376
York Mills Valley ParkClub: Valley Tennis ClubWebsite: http://www.valleytennisclub.comMembership: Waitlist,Sundays 7 p.m. - 11 p.m.Saturdays 9 p.m. - 11 p.m.,,Club,Yes,5,York Mills Valley Park, Valley Tennis ClubWebsite: http://www.valleytennisclub.comMembership: Waitlist,43.73934,-79.40431637,"43.74014063115265, -79.40529821474057",43.74014063,-79.40529821
